customer_id,first_name,last_name,customer_type,b2b_flag,account_type,loyalty_id,tax_id,payment_terms,credit_limit,parent_customer_id,is_active_flag,date_opened,manor_or_quarter,holdfast_name,town_or_keep,realm,status
6001,Apothecary 6001,,Business,True,Wholesale,,TAX-CRO-6001,Net 30,8298.0,,True,2025-01-16,Oldtown Harbor,Harbor Ward,King's Landing,Crownlands,Active
6002,Inn 6002,,Business,True,Wholesale,,TAX-CRO-6002,Net 30,8098.0,,True,2023-12-13,Harbor Ward,North Gate,Gulltown,Crownlands,Active
6003,Tavern 6003,,Business,True,Wholesale,,TAX-THE-6003,Due on Receipt,11563.0,9019.0,True,2024-05-24,Harbor Ward,Harbor Ward,Highgarden,The Stormlands,Active
6004,Apothecary 6004,,Business,True,Wholesale,,TAX-THE-6004,Due on Receipt,5912.0,9015.0,True,2025-07-08,Oldtown Harbor,Garden Terrace,Gulltown,The Westerlands,Active
6005,Bakery 6005,,Business,True,Wholesale,,TAX-THE-6005,Due on Receipt,9008.0,,True,2024-08-18,King's Road District,North Gate,Highgarden,The Stormlands,Active
6006,Guild Shop 6006,,Business,True,Wholesale,,TAX-THE-6006,Net 45,13692.0,,True,2024-08-15,Oldtown Harbor,East Rampart,Highgarden,The Westerlands,Active
6007,Tavern 6007,,Business,True,Wholesale,,TAX-THE-6007,Net 30,11146.0,9003.0,True,2025-04-13,Citadel Ward,East Rampart,White Harbor,The Reach,Active
6008,Guild Shop 6008,,Business,True,Wholesale,,TAX-THE-6008,Net 45,4549.0,,True,2024-03-17,King's Road District,West Market,King's Landing,The Westerlands,Active
6009,Bakery 6009,,Business,True,Wholesale,,TAX-THE-6009,Net 45,3442.0,,True,2024-01-20,Garden Terrace,Garden Terrace,Gulltown,The Reach,Active
6010,Guild Shop 6010,,Business,True,Wholesale,,TAX-THE-6010,Net 30,8607.0,9019.0,True,2024-04-19,King's Road District,East Rampart,White Harbor,The Stormlands,Active
6011,Inn 6011,,Business,True,Wholesale,,TAX-THE-6011,Net 30,9723.0,,True,2025-06-27,Oldtown Harbor,East Rampart,Gulltown,The Riverlands,Active
6012,Inn 6012,,Business,True,Wholesale,,TAX-THE-6012,Net 30,10241.0,9013.0,True,2025-05-27,King's Road District,South Keep,Highgarden,The North,Active
6013,Fishmonger 6013,,Business,True,Wholesale,,TAX-THE-6013,Net 30,8736.0,,True,2025-04-12,Garden Terrace,South Keep,White Harbor,The Stormlands,Active
6014,Apothecary 6014,,Business,True,Wholesale,,TAX-THE-6014,Net 30,13639.0,9002.0,True,2023-11-20,Harbor Ward,Harbor Ward,Lannisport,The Stormlands,Active
6015,Guild Shop 6015,,Business,True,Wholesale,,TAX-THE-6015,Net 45,11334.0,,True,2024-01-11,Citadel Ward,East Rampart,King's Landing,The Westerlands,Active
6016,Fishmonger 6016,,Business,True,Wholesale,,TAX-THE-6016,Net 45,6010.0,,True,2024-10-18,Harbor Ward,Garden Terrace,White Harbor,The Stormlands,Active
6017,Guild Shop 6017,,Business,True,Wholesale,,TAX-CRO-6017,Net 45,14008.0,,True,2025-08-02,Market Quarter,Garden Terrace,Gulltown,Crownlands,Active
6018,Guild Shop 6018,,Business,True,Wholesale,,TAX-DOR-6018,Net 30,5344.0,,True,2024-01-09,Garden Terrace,Garden Terrace,White Harbor,Dorne,Active
6019,Tavern 6019,,Business,True,Wholesale,,TAX-CRO-6019,Net 30,13440.0,9006.0,True,2025-01-30,King's Road District,North Gate,King's Landing,Crownlands,Active
6020,Fishmonger 6020,,Business,True,Wholesale,,TAX-THE-6020,Due on Receipt,11402.0,,True,2024-07-25,Oldtown Harbor,North Gate,King's Landing,The Reach,Active
6021,Inn 6021,,Business,True,Wholesale,,TAX-DOR-6021,Net 30,11917.0,9003.0,True,2024-09-11,Harbor Ward,Garden Terrace,Highgarden,Dorne,Active
6022,Guild Shop 6022,,Business,True,Wholesale,,TAX-THE-6022,Due on Receipt,5655.0,,True,2024-02-13,King's Road District,North Gate,Oldtown,The Riverlands,Active
6023,Market 6023,,Business,True,Wholesale,,TAX-THE-6023,Net 45,13407.0,9005.0,True,2024-02-28,Market Quarter,East Rampart,Highgarden,The Riverlands,Active
6024,Bakery 6024,,Business,True,Wholesale,,TAX-CRO-6024,Net 45,14046.0,,True,2024-10-24,Citadel Ward,Harbor Ward,Lannisport,Crownlands,Active
6025,Fishmonger 6025,,Business,True,Wholesale,,TAX-THE-6025,Net 30,10913.0,9004.0,True,2024-07-04,Market Quarter,East Rampart,Oldtown,The Westerlands,Active
6026,Bakery 6026,,Business,True,Wholesale,,TAX-THE-6026,Net 45,14132.0,,True,2024-10-31,Market Quarter,Harbor Ward,Lannisport,The Westerlands,Active
6027,Market 6027,,Business,True,Wholesale,,TAX-THE-6027,Net 30,13390.0,,True,2024-07-03,King's Road District,East Rampart,Highgarden,The Westerlands,Active
